t(s),Total retention volume 8,Total retention volume 7,Total retention volume 6,Total solute volume 8,Total solute volume 7,Total solute volume 6
575640.3766994978,1.126114371063321e+18,3.5880315766221203e+17,2.492649583030981e+18,2.805729874608815e+16,3.5879265574176896e+17,2.399625836074288e+18
633205.4143694476,1.1659109551900324e+18,3.808484833430833e+17,2.6899795357055427e+18,2.8093683255384296e+16,3.808372628796311e+17,2.5840431422839337e+18
696526.9558063925,1.2070717984816486e+18,4.029614385583069e+17,2.89415912999624e+18,2.812842179795287e+16,4.0294948706323046e+17,2.773763537758025e+18
766180.6513870318,1.2496421476735314e+18,4.250055360331522e+17,3.104528707832937e+18,2.8161568217347212e+16,4.249928448257315e+17,2.967992891961004e+18
842799.716525735,1.2936683869560023e+18,4.468489777600742e+17,3.3204022387816596e+18,2.8193174337083356e+16,4.4683554198260064e+17,3.165907676544784e+18
927080.6881783085,1.3391982107427402e+18,4.683683243544436e+17,3.5410894359142134e+18,2.8223290988042604e+16,4.683541428806419e+17,3.3666780698272236e+18
1019789.7569961395,1.386280801350308e+18,4.894516163287037e+17,3.7659170588038595e+18,2.8251968810369036e+16,4.8943669157444365e+17,3.569490225429551e+18
1121769.7326957537,1.4349670044127493e+18,5.100007882118538e+17,3.9942482390342907e+18,2.82792588102056e+16,5.0998512586239936e+17,3.773566494325081e+18
1233947.7059653292,1.4853094958171382e+18,5.299332884730285e+17,4.2254989255606907e+18,2.8305212673179188e+16,5.2991689714466816e+17,3.9781826549668987e+18
1357343.4765618623,1.5373629353893937e+18,5.491828914381664e+17,4.459150866592734e+18,2.832988285582484e+16,5.4916578229398035e+17,4.182681532171751e+18
1493078.8242180487,1.5911841042275656e+18,5.676997522841003e+17,4.694760874375588e+18,2.8353322490744916e+16,5.676819386237062e+17,4.386482724382532e+18
1642387.7066398538,1.646832024234712e+18,5.854498060333746e+17,4.931966418946741e+18,2.8375585149979948e+16,5.8543130287523e+17,4.589088469504247e+18
1806627.4773038393,1.704368059863718e+18,6.024136430222934e+17,5.170487838514013e+18,2.8396724513739332e+16,6.023944666946682e+17,4.790085932507308e+18
1987291.2250342234,1.7638560032374638e+18,6.185850066402518e+17,5.410127623539755e+18,2.8416793989225184e+16,6.185651743939967e+17,4.989146378370865e+18
2186021.347537646,1.8253621446117568e+18,6.339690568070976e+17,5.650767327774983e+18,2.8435846318161044e+16,6.339485864599384e+17,5.186021799637627e+18
2404624.4822914107,1.8889553306190172e+18,6.485805286638547e+17,5.892362690712038e+18,2.845393320344725e+16,6.485594382827203e+17,5.380539606554841e+18
2645087.9305205517,1.9547070129170578e+18,6.624418947042162e+17,6.134937536039332e+18,2.8471104976538544e+16,6.624202023291524e+17,5.572595972934953e+18
2909597.723572607,2.022691289836411e+18,6.755816140993846e+17,6.37857695530752e+18,2.8487410318792316e+16,6.755593375100243e+17,5.762148378014921e+18
3200558.495929868,2.092984943436541e+18,6.880325284646776e+17,6.623420209854935e+18,2.8502896042887812e+16,6.880096849883478e+17,5.949207808593443e+18
3520615.345522855,2.1656674741016765e+18,6.99830440987541e+17,6.869653699269428e+18,2.851760693479558e+16,6.998070473464682e+17,6.133830999122344e+18
3872677.880075141,2.2408211344789082e+18,7.11012896947556e+17,7.117504260340804e+18,2.853158565275078e+16,7.109889691417144e+17,6.316112999762928e+18
4259946.668082655,2.3185309642138435e+18,7.216181687132319e+17,7.367232982603786e+18,2.8544872677090444e+16,7.215937219347284e+17,6.496180280256955e+18
4685942.334890922,2.398884826599859e+18,7.316844372585055e+17,7.619129658668802e+18,2.855750630343421e+16,7.31659485833162e+17,6.674184504809826e+18
5154537.568380014,2.481973447938585e+18,7.412491547310496e+17,7.873507931159714e+18,2.8569522671217864e+16,7.412237120828012e+17,6.850297052077586e+18
5669992.325218016,2.567890460127646e+18,7.503485680831583e+17,8.130701153482015e+18,2.858095581978365e+16,7.503226467171284e+17,7.024704305401372e+18
6236992.5577398185,2.656732446750045e+18,7.590173816507439e+17,8.391058948232623e+18,2.85918377648591e+16,7.589909931511635e+17,7.197603701299553e+18
6860692.8135138005,2.7485989927481897e+18,7.67288536261713e+17,8.654944423715231e+18,2.860219858911937e+16,7.672616913012288e+17,7.369200497930358e+18
7546763.0948651815,2.8435927376251505e+18,7.75193083452231e+17,8.92273199430702e+18,2.861206654151953e+16,7.75165791809622e+17,7.539705208398328e+18
8301440.4043517,2.941819432023406e+18,7.827601352223018e+17,9.194805742751058e+18,2.862146814107787e+16,7.827324058060132e+17,7.709331634809132e+18
9131585.44478687,3.0433879974879944e+18,7.900168721043589e+17,9.471558260209033e+18,2.8630428281726372e+16,7.899887129797358e+17,7.878295436259328e+18
10000000.0,3.143536487590824e+18,7.966853500211323e+17,9.740472305022603e+18,2.8638601309303548e+16,7.966567871803521e+17,8.039249467790895e+18
