t(s),Total retention volume 1,Total 1 volume 1,Total 2 volume 1,Total 3 volume 1,Flux surface 1: solute,Average T volume 1
0.049196594878841295,1.4402708563452418e+19,1.625368170185985e+17,1.4899670100087496e+18,9.415275066517529e+18,1.4937601343180282e+20,673.0000000000006
0.050047157128823405,1.4528673047180507e+19,1.6396143873268912e+17,1.4997615061449682e+18,9.500789885540776e+18,1.4809328239430805e+20,673.0000000000006
0.05106783182880194,1.467830460288794e+19,1.655452051863321e+17,1.514019599075577e+18,9.602083508120332e+18,1.4659843027441875e+20,673.0000000000006
0.05191839407878405,1.4801965028127255e+19,1.6697814687940944e+17,1.5302049796270134e+18,9.678724556164628e+18,1.4538453930505888e+20,673.0000000000006
0.05262719595376914,1.4904313725514918e+19,1.682573722008577e+17,1.542263821860015e+18,9.741488253932564e+18,1.443946657477262e+20,673.0000000000006
0.05347775820375125,1.5026145463229587e+19,1.6968242646530397e+17,1.552236539784732e+18,9.82268291294664e+18,1.4323465993282703e+20,673.0000000000006
0.054498432903729785,1.517096032626626e+19,1.712238405251221e+17,1.5643082176239828e+18,9.92225759103773e+18,1.4187951060703317e+20,673.0000000000006
0.05572324254370402,1.5342813603893572e+19,1.7313825832590998e+17,1.5848903452939917e+18,1.0032334180146506e+19,1.4030826626877838e+20,673.0000000000006
0.05674391724368255,1.5484726329214943e+19,1.748514399624177e+17,1.6003371710549632e+18,1.012193600714543e+19,1.3903628118788388e+20,673.0000000000006
0.05759447949366466,1.560210580480071e+19,1.7619830323720944e+17,1.6100699057828001e+18,1.0200600868488415e+19,1.3800038697465872e+20,673.0000000000006
0.058615154193643194,1.5741725674385179e+19,1.7769279414910134e+17,1.6230021517628252e+18,1.029512974122663e+19,1.367899602632973e+20,673.0000000000006
0.059465716443625305,1.585723671012613e+19,1.790114866850059e+17,1.638007033610967e+18,1.0367260260443302e+19,1.3580376357762718e+20,673.0000000000006
0.0601745183186104,1.5952924235674817e+19,1.8020624206343366e+17,1.6504183487987835e+18,1.042482793925602e+19,1.349972648755044e+20,673.0000000000006
0.06102508056859251,1.606694310297811e+19,1.8158262318435645e+17,1.6607210406563794e+18,1.0498927216751366e+19,1.3404949982919424e+20,673.0000000000006
0.06204575526857104,1.6202630816741734e+19,1.8306412345790854e+17,1.6709926817869988e+18,1.0592464082069772e+19,1.3293759934375061e+20,673.0000000000006
0.06327056490854528,1.6363866883132887e+19,1.8480150265090547e+17,1.6884415279411172e+18,1.0698866092727917e+19,1.3164014494767292e+20,673.0000000000006
0.06429123960852381,1.6497153530792262e+19,1.863998910890707e+17,1.705210705667489e+18,1.078098959670387e+19,1.3058525317585564e+20,673.0000000000006
0.06514180185850592,1.6607493117288026e+19,1.8773065182166646e+17,1.7157907671815188e+18,1.0852113902018111e+19,1.2972394865470818e+20,673.0000000000006
0.06616247655848445,1.6738869813330713e+19,1.8917889972181168e+17,1.726062273633151e+18,1.0942055464877429e+19,1.2871405578164719e+20,673.0000000000006
0.06738728619845868,1.6895078284858796e+19,1.90865226409556e+17,1.742794261955094e+18,1.1045245302755748e+19,1.2753549420825862e+20,673.0000000000006
0.06840796089843722,1.7024273066687986e+19,1.92410815652951e+17,1.7594477333686106e+18,1.1124528772308113e+19,1.2657641319444893e+20,673.0000000000006
0.06925852314841932,1.7131268626150302e+19,1.937140519240885e+17,1.770216994619445e+18,1.1192712156777277e+19,1.2579253688134746e+20,673.0000000000006
0.07027919784839785,1.7258723705927363e+19,1.9513850097019494e+17,1.7800571589975887e+18,1.1279675594443008e+19,1.2487200726667995e+20,673.0000000000006
0.07150400748837209,1.7410350692510257e+19,1.9676362057681568e+17,1.7951890801546125e+18,1.1381201029622473e+19,1.2379505012252069e+20,673.0000000000006
0.07252468218835062,1.7535810142696468e+19,1.9824004926072102e+17,1.811713384771266e+18,1.145836647137651e+19,1.2291686342559398e+20,673.0000000000006
0.07337524443833272,1.763974838396791e+19,1.995211325446362e+17,1.823269844626985e+18,1.1523182072683854e+19,1.2219818496982344e+20,673.0000000000006
0.07439591913831126,1.776361188112438e+19,2.0093937992342288e+17,1.8330301939847954e+18,1.160676727087382e+19,1.2135328696937254e+20,673.0000000000006
0.07562072877828549,1.7911035263862333e+19,2.025140693773573e+17,1.846087266035113e+18,1.1707249075986702e+19,1.2036311008796525e+20,673.0000000000006
0.07664140347826402,1.803306265123422e+19,2.0390347328406646e+17,1.8617448949441413e+18,1.178372161222079e+19,1.1955442265505823e+20,673.0000000000006
0.07749196572824613,1.8134188668203289e+19,2.0515171556764234e+17,1.8745681308200522e+18,1.1845164906502003e+19,1.1889197229458968e+20,673.0000000000006
0.07851264042822466,1.8254744490572638e+19,2.065793343164693e+17,1.8850950236146857e+18,1.1924474356921127e+19,1.1811270891601217e+20,673.0000000000006
0.07973745006819889,1.8398291675729562e+19,2.0813276223713146e+17,1.896309089910288e+18,1.2023380504197749e+19,1.1719846865325654e+20,673.0000000000006
0.08120722163616798,1.8568979509675323e+19,2.1001045604485312e+17,1.915848099454978e+18,1.2134124913967722e+19,1.1613113033912813e+20,673.0000000000006
0.08243203127614221,1.8710155139299975e+19,2.1170358589390877e+17,1.9323918640550339e+18,1.2222324168109548e+19,1.1526225977452665e+20,673.0000000000006
0.08345270597612074,1.882707651128763e+19,2.1306604679835974e+17,1.9425514372305564e+18,1.2299768519082285e+19,1.1455197930167398e+20,673.0000000000006
0.08467751561609498,1.8966361143072465e+19,2.1457382749378083e+17,1.9544155211877084e+18,1.2394744368006644e+19,1.1371839146746431e+20,673.0000000000006
0.08614728718406406,1.9132071040977785e+19,2.1643682006731552e+17,1.9744120014623795e+18,1.2500369821583266e+19,1.1274434843009188e+20,673.0000000000006
0.08737209682403829,1.926919004689468e+19,2.1808812397793584e+17,1.9898860328034806e+18,1.2586482198640105e+19,1.1195030739591358e+20,673.0000000000006
0.08884186839200738,1.943236732098557e+19,2.1991456645907686e+17,2.003022783818216e+18,1.2697221151836486e+19,1.1102125333290954e+20,673.0000000000006
0.09060559427357028,1.962627211214484e+19,2.220202155138005e+17,2.0233146865620654e+18,1.2825524398174925e+19,1.09939516091559e+20,673.0000000000006
0.09207536584153936,1.9786567337010463e+19,2.239209668248978e+17,2.0424397611639222e+18,1.2925794327908702e+19,1.0906042200236861e+20,673.0000000000006
0.09330017548151359,1.9919267435116724e+19,2.2546439891266755e+17,2.0542880290265958e+18,1.3013434582418534e+19,1.083425685620591e+20,673.0000000000006
0.09476994704948268,2.007727068094793e+19,2.2718261602481677e+17,2.0685749073757617e+18,1.312017808324851e+19,1.0750104868320204e+20,673.0000000000006
0.09599475668945691,2.020809749517058e+19,2.2868793347980304e+17,2.0853853294706964e+18,1.3201803060623124e+19,1.068131563168963e+20,673.0000000000006
