parameters: E1[eV]/n1[atfr],  E2[eV]/n2[atfr],    E3[eV]/n3[atfr](only in 10 nm)
0.834/1.364e-03,  0.959/3.629e-04,  1.496/9.743e-02
Relative error with exp(%): 2.91
Temperature[K],    Des_flux[D2.m-2.s-1],   Des_flux[D.m-2.s-1]
731.200, 1.2975e+17,  2.5950e+17
732.000, 1.2812e+17,  2.5623e+17
732.800, 1.2651e+17,  2.5302e+17
733.600, 1.2493e+17,  2.4987e+17
734.400, 1.2338e+17,  2.4677e+17
735.200, 1.2186e+17,  2.4372e+17
736.000, 1.2037e+17,  2.4073e+17
736.800, 1.1890e+17,  2.3779e+17
737.600, 1.1745e+17,  2.3490e+17
738.400, 1.1603e+17,  2.3206e+17
739.200, 1.1463e+17,  2.2927e+17
740.000, 1.1326e+17,  2.2652e+17
740.800, 1.1191e+17,  2.2382e+17
741.600, 1.1058e+17,  2.2116e+17
742.400, 1.0927e+17,  2.1855e+17
743.200, 1.0799e+17,  2.1597e+17
744.000, 1.0672e+17,  2.1344e+17
744.800, 1.0548e+17,  2.1095e+17
745.600, 1.0425e+17,  2.0850e+17
746.400, 1.0304e+17,  2.0608e+17
747.200, 1.0185e+17,  2.0371e+17
748.000, 1.0068e+17,  2.0137e+17
748.800, 9.9531e+16,  1.9906e+17
749.600, 9.8396e+16,  1.9679e+17
750.400, 9.7278e+16,  1.9456e+17
751.200, 9.6177e+16,  1.9235e+17
752.000, 9.5092e+16,  1.9018e+17
752.800, 9.4014e+16,  1.8803e+17
753.600, 9.2969e+16,  1.8594e+17
754.400, 9.1936e+16,  1.8387e+17
755.200, 9.0886e+16,  1.8177e+17
756.000, 8.9880e+16,  1.7976e+17
756.800, 8.8901e+16,  1.7780e+17
757.600, 8.7916e+16,  1.7583e+17
758.400, 8.6954e+16,  1.7391e+17
759.200, 8.6006e+16,  1.7201e+17
760.000, 8.5062e+16,  1.7012e+17
760.800, 8.4143e+16,  1.6829e+17
761.600, 8.3223e+16,  1.6645e+17
762.400, 8.2312e+16,  1.6462e+17
763.200, 8.1420e+16,  1.6284e+17
764.000, 8.0544e+16,  1.6109e+17
764.800, 7.9677e+16,  1.5935e+17
765.600, 7.8830e+16,  1.5766e+17
766.400, 7.7986e+16,  1.5597e+17
767.200, 7.7170e+16,  1.5434e+17
768.000, 7.6356e+16,  1.5271e+17
768.800, 7.5537e+16,  1.5107e+17
769.600, 7.4755e+16,  1.4951e+17
770.400, 7.3969e+16,  1.4794e+17
771.200, 7.3184e+16,  1.4637e+17
772.000, 7.2417e+16,  1.4483e+17
772.800, 7.1666e+16,  1.4333e+17
773.600, 7.0923e+16,  1.4185e+17
774.400, 7.0181e+16,  1.4036e+17
775.200, 6.9457e+16,  1.3891e+17
776.000, 6.8742e+16,  1.3748e+17
776.800, 6.8028e+16,  1.3606e+17
777.600, 6.7336e+16,  1.3467e+17
778.400, 6.6641e+16,  1.3328e+17
779.200, 6.5962e+16,  1.3192e+17
780.000, 6.5296e+16,  1.3059e+17
780.800, 6.4629e+16,  1.2926e+17
781.600, 6.3959e+16,  1.2792e+17
